precinct,dist10,dist12
270010075,03B,10B
270010080,03B,10B
270010082,03B,10B
270010085,03B,10B
270010090,03B,10B
270010095,03B,10B
270010100,03B,10B
270010105,03B,10B
270010110,03B,10B
270010115,03B,10B
270010120,03B,10B
270010125,03B,10B
270010130,03B,10B
270010132,03B,10B
270010135,03B,10B
270010140,03B,10B
270010145,03B,10B
270010150,03B,10B
270010155,03B,10B
270010160,03B,10B
270010165,03B,10B
270010170,03B,10B
270010175,03B,10B
270010180,03B,10B
270010185,03B,10B
270010190,03B,10B
270010195,03B,10B
270010200,03B,10B
270010205,03B,10B
270010210,03B,10B
270010215,03B,10B
270010220,03B,10B
270010225,03B,10B
270010230,03B,10B
270010240,03B,10B
270010255,03B,10B
270010260,03B,10B
270010285,03B,10B
270010290,03B,10B
270610090,03B,05B
270610145,03B,05B
270610151,03B,05B
270610155,03B,05B
270610086,03B,05B
270610030,03B,05B
270610035,03B,05B
270610161,03B,05B
270610200,03B,05B
270610244,03B,05B
270610320,03B,05B
270610340,03B,05B
270610370,03B,05A
270610372,03B,05B
270610140,03B,05B
270610087,03B,05B
270610227,03B,05B
270070015,04A,05A
270070020,04A,05A
270070025,04A,05A
270070030,04A,05A
270070035,04A,05A
270070040,04A,05A
270070080,04A,05A
270070160,04A,05A
270070170,04A,05A
270070172,04A,05A
270070235,04A,05A
270070250,04A,05A
270070270,04A,05A
270070285,04A,05A
270610065,04A,05A
270610095,04A,05B
270610100,04A,05B
270610125,04A,05A
270210025,04A,05A
270210030,04A,05B
270210040,04A,05B
270210045,04A,05A
270210050,04A,05A
270210055,04A,05A
270210075,04A,05A
270210085,04A,05B
270210105,04A,05A
270210110,04A,05A
270210118,04A,05A
270210130,04A,05A
270210135,04A,05A
270210145,04A,05A
270210150,04A,05B
270210155,04A,05A
270210184,04A,05A
270210190,04A,05A
270210200,04A,05A
270210230,04A,05B
270210235,04A,05B
270210237,04A,05A
270210240,04A,05A
270210245,04A,05B
270210255,04A,05B
270210260,04A,05B
270210262,04A,05A
270210270,04A,05B
270210275,04A,05B
270210280,04A,05B
270210285,04A,05A
270210290,04A,05B
270210295,04A,05A
270210310,04A,05A
270210312,04A,05B
270210317,04A,05A
270610020,04A,05A
270610205,04A,05A
270610225,04A,05A
270610255,04A,05A
270610270,04A,05A
270610295,04A,05A
270610310,04A,05A
270610330,04A,05A
270610345,04A,05A
270610375,04A,05A
270610385,04A,05B
270210005,04B,09A
270210010,04B,05B
270210015,04B,05B
270210020,04B,09A
270210035,04B,05A
270210060,04B,05B
270210065,04B,09A
270210070,04B,09A
270210080,04B,05B
270210090,04B,05B
270210095,04B,09A
270210100,04B,09A
270210115,04B,05A
270210120,04B,05B
270210125,04B,09A
270210140,04B,09A
270210160,04B,09A
270210165,04B,05B
270210170,04B,09A
270210175,04B,09A
270210180,04B,09A
270210185,04B,09A
270210187,04B,09A
270210195,04B,09A
270210205,04B,05B
270210210,04B,05B
270210215,04B,05B
270210220,04B,09A
270210225,04B,05B
270210250,04B,05A
270210252,04B,05A
270210265,04B,09A
270210300,04B,09A
270210305,04B,05A
270210315,04B,09A
270210320,04B,05B
270350055,04B,10A
270350075,04B,10B
270350076,04B,10B
270350085,04B,10B
270350100,04B,10B
270350115,04B,10B
270350120,04B,10B
270350125,04B,10B
270350140,04B,10A
270350155,04B,10A
270350175,04B,10A
270350180,04B,10A
270350195,04B,10B
270350205,04B,10B
270350215,04B,10A
270350235,04B,10A
270350240,04B,10A
270350245,04B,10B
270350255,04B,10B
270350265,04B,10B
270350280,04B,10B
270350290,04B,10B
270570005,04B,02A
270570010,04B,02A
270570020,04B,02B
270570030,04B,02B
270570035,04B,02A
270570045,04B,02A
270570050,04B,02A
270570055,04B,02A
270570060,04B,02A
270570095,04B,02A
270570100,04B,02A
270570105,04B,02A
270570110,04B,02B
270570115,04B,02B
270570135,04B,02A
270570145,04B,02A
270570155,04B,02A
271370020,05A,06A
271370055,05A,06B
271370060,05A,06B
271370080,05A,06A
271370005,05A,06A
271370115,05A,06B
271370120,05A,06B
271370470,05A,06B
271370475,05A,06B
271370480,05A,06B
271370485,05A,06B
271370510,05A,06B
271370545,05A,06A
271370550,05A,06B
271370575,05A,06A
271370580,05A,06A
271370735,05A,06B
271370755,05A,06B
271370765,05A,06B
271370785,05A,06B
271370797,05A,06B
271370810,05A,06A
271370820,05A,06B
271370825,05A,06B
271370880,05A,06B
271370881,05A,06B
271370915,05A,06B
271370930,05A,06A
271370960,05A,06B
271370962,05A,06B
271370970,05A,06A
271370971,05A,06A
271370973,05A,06A
271370976,05A,06B
271370979,05A,06B
271371035,05A,06B
271371040,05A,06B
271371045,05A,06B
271371050,05A,06B
271371055,05A,06B
271371060,05A,06B
271371125,05A,06B
271371130,05A,06B
271371135,05A,06B
271371150,05A,06B
271371136,05A,06B
271370010,05B,06B
271370031,05B,06B
271370040,05B,06A
271370090,05B,06A
271370095,05B,06A
271370100,05B,06A
271370130,05B,06B
271370440,05B,06B
271370445,05B,06A
271370520,05B,06A
271370525,05B,06A
271370530,05B,06A
271370540,05B,06B
271370570,05B,06B
271370590,05B,06A
271370591,05B,06A
271370615,05B,06A
271370620,05B,06A
