district,total_precincts,gop_votes,dfl_votes,total_votes,gop%,dfl%,margin
28A,34,5914,6747,13615,0.43437385236871096,0.49555637164891664,0.06118251928020568
09B,55,8403,5058,15036,0.5588587390263368,0.3363926576217079,-0.22246608140462887
58B,27,9973,5761,14952,0.6670010700909578,0.3852996254681648,-0.28170144462279295
40,23,7573,12322,19977,0.37908594884116736,0.6168093307303399,0.23772338188917258
16B,68,11960,5229,13942,0.8578396212881939,0.3750537942906326,-0.4827858269975613
53B,10,8958,7170,16136,0.5551561725334655,0.44434804164600894,-0.11080813088745656
27A,51,8731,8903,16817,0.5191770232502825,0.5294047689837664,0.01022774573348395
66,26,8986,19265,28300,0.31752650176678443,0.6807420494699646,0.3632155477031802
03B,19,6241,9974,16325,0.38229709035222054,0.6109647779479326,0.22866768759571204
51A,13,8898,8415,17220,0.5167247386759581,0.4886759581881533,-0.028048780487804847
55,28,19288,8345,27742,0.6952634993872108,0.3008074399826977,-0.39445605940451306
39B,19,9948,8870,18964,0.5245728749209028,0.4677283273570977,-0.05684454756380508
34A,15,11778,0,17362,0.6783780670429674,0.0,-0.6783780670429674
62,25,2360,17911,20327,0.11610173660648399,0.8811433069316672,0.7650415703251832
37B,15,9038,7007,15886,0.5689286163917915,0.4410801963993453,-0.12784841999244617
06B,51,5675,12854,18650,0.3042895442359249,0.6892225201072386,0.3849329758713137
66B,14,2989,8367,11201,0.2668511740023212,0.7469868761717704,0.4801357021694492
55A,14,7757,4158,12323,0.629473342530228,0.33741783656577135,-0.2920555059644567
21A,38,10503,7961,16632,0.6314935064935064,0.47865560365560367,-0.15283790283790277
24A,23,5852,6716,15554,0.37623762376237624,0.43178603574643176,0.055548411984055523
34,30,24932,0,25677,0.9709857070530047,0.0,-0.9709857070530047
56,20,15043,9968,25038,0.60080677370397,0.398114865404585,-0.20269190829938494
21B,53,9858,6252,15513,0.6354670276542255,0.4030168245987237,-0.2324502030555018
28B,64,8710,7797,16154,0.5391853410919896,0.48266683174445957,-0.05651850934753
54A,17,7960,8257,15278,0.5210106034821311,0.5404503207226077,0.01943971724047655
46B,15,5486,10088,15860,0.34590163934426227,0.6360655737704918,0.2901639344262295
36,23,14956,13087,29569,0.5057999932361595,0.4425919036829112,-0.06320808955324836
24B,30,6829,6137,13457,0.5074682321468381,0.4560451809467192,-0.05142305120011892
62A,12,798,6867,7967,0.10016317308899209,0.8619304631605372,0.7617672900715451
49B,18,10239,8963,20287,0.5047074481194854,0.4418100261251047,-0.0628974219943807
36A,9,6813,5842,13905,0.4899676375404531,0.42013664149586477,-0.06983099604458831
61,29,8388,30503,38969,0.21524801765505916,0.7827503913367035,0.5675023736816444
17B,39,8803,8009,15561,0.5657091446565131,0.5146841462630937,-0.05102499839341945
62B,13,1502,11044,12391,0.1212170123476717,0.8912920668226939,0.7700750544750222
59,29,4320,16377,20758,0.20811253492629347,0.7889488390018307,0.5808363040755372
26B,26,8700,6605,16342,0.5323705788765145,0.4041732958022274,-0.12819728307428713
44,32,17829,16705,34553,0.5159899285156136,0.4834601915897317,-0.03252973692588196
44A,13,10011,7281,16454,0.6084234836513918,0.44250638142700865,-0.1659171022243831
32A,19,7583,6324,14053,0.5396000853910197,0.4500106738774639,-0.08958941151355576
25A,20,8921,4909,14906,0.5984838320139542,0.3293304709512948,-0.26915336106265936
17,134,15438,16870,32343,0.4773212132455245,0.5215966360572613,0.04427542281173674
35,28,19069,12142,31248,0.6102470558115719,0.3885688684075781,-0.2216781874039938
42,28,17116,17814,35361,0.4840360849523486,0.5037753457198608,0.0197392607675122
59B,14,2419,8816,11151,0.21693121693121692,0.7906017397542822,0.5736705228230652
59A,15,1925,7561,9460,0.20348837209302326,0.7992600422832981,0.5957716701902748
16A,86,8654,7744,15184,0.5699420442571127,0.5100105374077977,-0.05993150684931503
22A,110,8924,6035,15557,0.5736324484155043,0.38792826380407536,-0.18570418461142896
19B,16,4968,6193,10806,0.4597445863409217,0.5731075328521192,0.11336294651119755
09A,70,8694,6348,15378,0.5653531018337885,0.4127975029262583,-0.15255559890753023
41A,15,6250,7567,14266,0.4381045843263704,0.5304219823356232,0.09231739800925282
35A,15,9462,5862,13989,0.6763885910358138,0.41904353420544715,-0.2573450568303667
37,32,16882,14955,31924,0.5288184438040345,0.4684563337927578,-0.060362110011276726
43,28,13086,16225,31246,0.4188056071177111,0.5192664661076618,0.10046085898995072
57B,14,10747,6995,17933,0.5992862320860982,0.39006301232364915,-0.20922321976244906
67A,14,2249,5618,8045,0.2795525170913611,0.6983219390926041,0.418769422001243
10B,90,9251,8003,18042,0.512748032368917,0.44357610021061966,-0.06917193215829731
64A,15,3277,12439,16014,0.20463344573498188,0.7767578368927188,0.572124391157737
35B,13,11137,6280,17180,0.6482537834691502,0.36554132712456344,-0.28271245634458675
